,.id,synsetOffset,lexFilenum,lexFileName,pos,posName,wCnt,words,pCnt,pointers,frames,gloss
1,adv,00001740,02,all adverbs,r,Adverb,1,a_cappella 0,0,NA,NA,without musical accompaniment; "they performed a cappella"  
2,adv,00001837,02,all adverbs,r,Adverb,3,AD 0 A.D. 0 anno_Domini 0,0,NA,NA,in the Christian era; used before dates after the supposed year Christ was born; "in AD 200"  
3,adv,00001981,02,all adverbs,r,Adverb,3,CE 0 C.E. 0 Common_Era 0,0,NA,NA,of the period coinciding with the Christian era; preferred by some writers who are not Christians; "in 200 CE"  
4,adv,00002142,02,all adverbs,r,Adverb,3,BC 0 B.C. 0 before_Christ 0,0,NA,NA,before the Christian era; used following dates before the supposed year Christ was born; "in 200 BC"  
5,adv,00002296,02,all adverbs,r,Adverb,2,BCE 0 B.C.E. 0,0,NA,NA,of the period before the Common Era; preferred by some writers who are not Christians; "in 200 BCE"  
6,adv,00002436,02,all adverbs,r,Adverb,3,horseback 0 ahorse 0 ahorseback 0,0,NA,NA,on the back of a horse; "he rode horseback to town"; "managed to escape ahorse"; "policeman patrolled the streets ahorseback"  
7,adv,00002621,02,all adverbs,r,Adverb,5,barely 0 hardly 0 just 4 scarcely 0 scarce 0,0,NA,NA,only a very short time before; "they could barely hear the speaker"; "we hardly knew them"; "just missed being hit"; "had scarcely rung the bell when the door flew open"; "would have scarce arrived before she would have found some excuse to leave"- W.B.Yeats  
8,adv,00002950,02,all adverbs,r,Adverb,1,just 6,0,NA,NA,exactly at this moment or the moment described; "we've just finished painting the walls, so don't touch them";  
9,adv,00003093,02,all adverbs,r,Adverb,2,hardly 2 scarcely 2,1,\ 00016756 a 0201,NA,almost not; "he hardly ever goes fishing"; "he was hardly more than sixteen years old"; "they scarcely ever used the emergency generator"  
10,adv,00003294,02,all adverbs,r,Adverb,1,anisotropically 0,1,\ 01361107 a 0101,NA,in an anisotropic manner  
11,adv,00003380,02,all adverbs,r,Adverb,1,annoyingly 0,1,\ 00089550 a 0101,NA,in an annoying manner or to an annoying degree  
12,adv,00003483,02,all adverbs,r,Adverb,3,basically 0 fundamentally 0 essentially 1,2,\ 00900616 a 0301 \ 01856419 a 0201,NA,in essence; at bottom or by one's (or its) very nature; "He is basically dishonest"; "the argument was essentially a technical one"; "for all his bluster he is in essence a shy person"  
13,adv,00003771,02,all adverbs,r,Adverb,1,blessedly 0,1,\ 00670741 a 0101,NA,in a blessed manner  
14,adv,00003846,02,all adverbs,r,Adverb,1,boiling 0,1,;u 07075172 n 0000,NA,extremely; "boiling mad"  
15,adv,00003925,02,all adverbs,r,Adverb,1,enviably 0,1,\ 00733541 a 0101,NA,in an enviable manner; "she was enviably fluent in French"  
16,adv,00004038,02,all adverbs,r,Adverb,1,pointedly 0,1,\ 00765862 a 0101,NA,in such a manner as to make something clearly evident; "he pointedly ignored the question"  
17,adv,00004184,02,all adverbs,r,Adverb,1,negatively 0,1,\ 01818234 a 0101,NA,in a negative way; "he was negatively inclined"  
18,adv,00004288,02,all adverbs,r,Adverb,1,negatively 1,1,\ 01128508 a 0101,NA,in a harmful manner; "he was negatively affected"  
19,adv,00004394,02,all adverbs,r,Adverb,1,kindly 0,2,\ 01372049 a 0101 ! 00004567 r 0101,NA,in a kind manner or out of kindness; "He spoke kindly to the boy"; "she kindly overlooked the mistake"  
20,adv,00004567,02,all adverbs,r,Adverb,1,unkindly 0,2,! 00004394 r 0101 \ 01373728 a 0101,NA,in an unkind manner or with unkindness; "The teacher treats the children unkindly"  
21,adv,00004722,02,all adverbs,r,Adverb,5,merely 0 simply 0 just 0 only 2 but 1,2,\ 01792573 a 0203 \ 01792573 a 0102,NA,and nothing more; "I was merely asking"; "it is simply a matter of time"; "just a scratch"; "he was only a child"; "hopes that last but a moment"  
22,adv,00004967,02,all adverbs,r,Adverb,1,simply 2,0,NA,NA,absolutely; altogether; really; "we are simply broke"  
23,adv,00005055,02,all adverbs,r,Adverb,2,plainly 1 simply 1,0,NA,NA,in a simple manner; without extravagance or embellishment; "she was dressed plainly"; "they lived very simply"  
24,adv,00005210,02,all adverbs,r,Adverb,1,anciently 0,1,\ 01728614 a 0101,NA,in ancient times; long ago; "a concern with what may have happened anciently"  
25,adv,00005343,02,all adverbs,r,Adverb,1,arguably 0,1,\ 00602117 a 0101,NA,as can be shown by argument; "she is arguably the best"
26,verb,00001740,29,verbs of grooming, dressing and bodily care,v,Verb,4,breathe 0 take_a_breath 0 respire 0 suspire 3,21,* 00005041 v 0000 * 00004227 v 0000 + 03110322 a 0301 + 00831191 n 0303 + 04080833 n 0301 + 04250850 n 0105 + 00831191 n 0101 ^ 00004227 v 0103 ^ 00005041 v 0103 $ 00002325 v 0000 $ 00002573 v 0000 ~ 00002573 v 0000 ~ 00002724 v 0000 ~ 00002942 v 0000 ~ 00003826 v 0000 ~ 00004032 v 0000 ~ 00004227 v 0000 ~ 00005041 v 0000 ~ 00006697 v 0000 ~ 00007328 v 0000 ~ 00017031 v 0000 ,02 + 02 00 + 08 00,draw air into, and expel out of, the lungs; "I can breathe better when the air is clean"; "The patient is respiring"  
27,verb,00002325,29,verbs of grooming, dressing and bodily care,v,Verb,1,respire 1,5,$ 00001740 v 0000 @ 02108377 v 0000 + 03110322 a 0101 + 00831191 n 0103 + 00830811 n 0101 ,01 + 02 00,undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide  
28,verb,00002573,29,verbs of grooming, dressing and bodily care,v,Verb,1,respire 2,3,$ 00001740 v 0000 @ 00001740 v 0000 + 03110322 a 0101 ,01 + 02 00,breathe easily again, as after exertion or anxiety  
29,verb,00002724,29,verbs of grooming, dressing and bodily care,v,Verb,1,choke 0,2,@ 00001740 v 0000 + 14058252 n 0101 ,01 + 02 00,breathe with great difficulty, as when experiencing a strong emotion; "She choked with emotion when she spoke about her deceased husband"  
30,verb,00002942,29,verbs of grooming, dressing and bodily care,v,Verb,1,hyperventilate 0,3,@ 00001740 v 0000 + 00833870 n 0101 $ 00003133 v 0000 ,01 + 02 00,breathe excessively hard and fast; "The mountain climber started to hyperventilate"  
31,verb,00003133,29,verbs of grooming, dressing and bodily care,v,Verb,1,hyperventilate 1,3,$ 00002942 v 0000 @ 00078760 v 0000 + 00833870 n 0101 ,01 + 09 00,produce hyperventilation in; "The nurses had to hyperventilate the patient"  
32,verb,00003316,29,verbs of grooming, dressing and bodily care,v,Verb,1,aspirate 0,3,@ 00005041 v 0000 + 00836788 n 0103 + 02748491 n 0101 ,01 + 08 00,suck in (air)  
33,verb,00003431,29,verbs of grooming, dressing and bodily care,v,Verb,4,burp 0 bubble 0 belch 0 eruct 0,5,@ 00105333 v 0000 + 00117578 n 0405 + 00117578 n 0301 + 09229709 n 0201 + 00117578 n 0103 ,01 + 02 00,expel gas from the stomach; "In China it is polite to burp at the table"  
34,verb,00003662,29,verbs of grooming, dressing and bodily care,v,Verb,1,force_out 0,1,@ 00105333 v 0000 ,02 + 08 00 + 11 00,emit or cause to move with force of effort; "force out the air"; "force out the splinter"  
35,verb,00003826,29,verbs of grooming, dressing and bodily care,v,Verb,2,hiccup 0 hiccough 0,3,@ 00001740 v 0000 + 14359459 n 0202 + 14359459 n 0101 ,01 + 02 00,breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water"  
36,verb,00004032,29,verbs of grooming, dressing and bodily care,v,Verb,2,sigh 0 suspire 4,4,@ 00001740 v 0000 + 07129602 n 0202 + 07393756 n 0101 + 07129602 n 0101 ,01 + 02 00,heave or utter a sigh; breathe deeply and heavily; "She sighed sadly"  
37,verb,00004227,29,verbs of grooming, dressing and bodily care,v,Verb,3,exhale 0 expire 0 breathe_out 0,8,@ 00001740 v 0000 + 03110610 a 0201 + 00835267 n 0202 + 14842091 n 0102 + 00835267 n 0101 ! 00005041 v 0101 ~ 00006523 v 0000 ~ 00007012 v 0000 ,02 + 02 00 + 08 00,expel air; "Exhale when you lift the weight"  
38,verb,00004492,29,verbs of grooming, dressing and bodily care,v,Verb,1,hold 4,1,@ 02422663 v 0000 ,01 + 08 00,keep from exhaling or expelling; "hold your breath"  
